Jam_Belajar,Kehadiran,Keterlibatan_Orang_Tua,Akses_Sumber_Daya,Kegiatan_Ekstrakurikuler,Jam_Tidur,Nilai_Sebelumnya,Tingkat_Motivasi,Akses_Internet,Sesi_Bimbingan,Pendapatan_Keluarga,Kualitas_Guru,Jenis_Sekolah,Pengaruh_Teman,Aktivitas_Fisik,Kesulitan_Belajar,Pendidikan_Orang_Tua,Jarak_dari_Rumah,Jenis_Kelamin,Nilai_Ujian
22,71,Tinggi,Sedang,Tidak,6,79,Tinggi,Ya,1,Rendah,Rendah,Negeri,positive,3,Tidak,High School,Dekat,Laki-laki,
29,78,Tinggi,Tinggi,Ya,4,93,Rendah,Ya,5,Sedang,Tinggi,Negeri,Netral,3,Tidak,Perguruan Tinggi,Dekat,Laki-laki,74
17,67,Sedang,Sedang,Ya,5,52,Tinggi,Ya,2,Sedang,Sedang,Swasta,Negatif,3,Tidak,SMA,Jauh,Perempuan,62
15,95,Sedang,Sedang,Tidak,7,93,Sedang,Ya,2,Rendah,Sedang,Negeri,Positif,4,Tidak,Perguruan Tinggi,Sedang/Jarak Sedang,M@le,70
17,88,Sedang,Tinggi,Ya,,94,Rendah,Ya,0,Sedang,,Negeri,Netral,3,Tidak,High School,NEAR,Laki-laki,69
25,63,Sedang,Tinggi,Ya,7,72,Sedang,Ya,3,Sedang,Tinggi,Swasta,Negatif,4,Tidak,,Jauh,Laki-laki,67
22,86,Rendah,Rendah,Tidak,6,54,Sedang,Ya,2,,Sedang,Negeri,Netral,0,Tidak,High School,Sedang/Jarak Sedang,M@le,64
17,86,Sedang,Tinggi,Tidak,5,97,Tinggi,Ya,3,Tinggi,Sedang,public,Netral,3,Tidak,Perguruan Tinggi,Ne@r,Laki-laki,71
23,98,Sedang,Rendah,Ya,7,54,Rendah,,,Sedang,Sedang,Negeri,negative,3,Tidak,Perguruan Tinggi,Ne@r,Perempuan,68
21,60,Tinggi,Sedang,Tidak,7,80,Sedang,Ya,0,Sedang,Tinggi,,Netral,4,Ya,Perguruan Tinggi,Dekat,Laki-laki,64
26,70,Sedang,Rendah,Ya,8,75,Sedang,Ya,1,Sedang,Rendah,Swasta,Netral,4,Ya,High School,Jauh,FEMALE,63
16,97,Sedang,Sedang,Ya,6,,Rendah,Ya,0,Tinggi,Sedang,Swasta,Positif,4,Tidak,Perguruan Tinggi,Dekat,Laki-laki,71
18,97,Tinggi,Sedang,Ya,4,75,Rendah,Ya,0,Rendah,Sedang,Negeri,Positif,3,Tidak,High School,Moder@te,Laki-laki,69
18,89,Tinggi,Sedang,Ya,4,,Sedang,Ya,3,Tinggi,Sedang,Swasta,Positif,2,Tidak,Perguruan Tinggi,Ne@r,Perempuan,100
11,91,Sedang,Sedang,Tidak,,94,Sedang,Ya,3,Sedang,Sedang,Negeri,Netral,3,Tidak,Perguruan Tinggi,Sedang/Jarak Sedang,Laki-laki,68
22,64,Rendah,Sedang,Tidak,7,98,Rendah,,,Sedang,Sedang,Negeri,Negatif,3,Tidak,High School,Dekat,Laki-laki,62
22,81,Sedang,Sedang,Ya,7,,Rendah,Ya,2,Sedang,Sedang,Negeri,Positif,3,Tidak,Pascasarjana,,FEMALE,68
,69,Tinggi,Tinggi,Ya,6,73,Sedang,Ya,2,Rendah,Sedang,Swasta,POSITIVE,,Tidak,SMA,Jauh,MALE,66
19,67,Rendah,Sedang,Tidak,5,92,Tinggi,Ya,0,Sedang,Sedang,Negeri,positive,3,Tidak,Perguruan Tinggi,Dekat,Laki-laki,64
12,92,,Sedang,Tidak,4,92,Tinggi,Ya,2,Sedang,,public,NEUTRAL,3,Ya,High School,MODERATE,M@le,67
17,65,Sedang,Tinggi,Ya,8,66,Sedang,Ya,1,Tinggi,Tinggi,public,NEUTRAL,4,Ya,postgraduate,Sedang/Jarak Sedang,Perempuan,65
18,79,Sedang,Sedang,Ya,7,79,Sedang,Ya,0,Rendah,Tinggi,Swasta,Netral,3,Tidak,Perguruan Tinggi,Jauh,Laki-laki,65
15,98,Tinggi,Sedang,Tidak,6,58,Tinggi,Ya,0,Rendah,Tinggi,Negeri,Positif,3,Tidak,Perguruan Tinggi,Dekat,Laki-laki,69
19,67,Sedang,Sedang,Tidak,5,82,Tinggi,Ya,1,Rendah,Rendah,Swasta,NEGATIVE,3,Tidak,SMA,,Laki-laki,63
22,99,Sedang,Rendah,Ya,6,92,Rendah,Ya,3,Sedang,Sedang,Negeri,Negatif,4,Tidak,postgraduate,MODERATE,Laki-laki,72
31,100,Sedang,Sedang,Tidak,7,59,Sedang,Ya,2,Tinggi,Tinggi,Negeri,Positif,5,Tidak,Pascasarjana,Sedang/Jarak Sedang,MALE,76
21,82,,,Ya,7,66,Tinggi,Ya,3,Rendah,Sedang,Negeri,Positif,3,Ya,college,Dekat,FEMALE,69
22,,Sedang,Sedang,Ya,7,72,Tinggi,Ya,3,Rendah,Tinggi,,Positif,2,Tidak,Pascasarjana,Sedang/Jarak Sedang,Perempuan,67
,73,Tinggi,Sedang,Ya,9,92,,Ya,2,Sedang,,Negeri,POSITIVE,3,Tidak,,,MALE,69
8,77,Tinggi,Sedang,Ya,6,,Sedang,Ya,0,Rendah,Sedang,Negeri,Netral,2,Tidak,SMA,Sedang/Jarak Sedang,Laki-laki,63
20,72,Sedang,,Tidak,9,66,Sedang,Ya,,Rendah,Tinggi,Priv@te,Positif,3,,Pascasarjana,Ne@r,Laki-laki,67
20,71,,Tinggi,Ya,7,62,Tinggi,Ya,2,Sedang,Sedang,Negeri,Negatif,5,Tidak,Perguruan Tinggi,Ne@r,Laki-laki,66
35,99,Tinggi,Tinggi,Ya,7,85,Rendah,Ya,2,Sedang,Tinggi,Swasta,Netral,2,Tidak,,Dekat,Perempuan,79
19,66,Sedang,Sedang,,8,74,Sedang,Ya,1,Tinggi,Sedang,Negeri,Netral,3,Tidak,HIGH SCHOOL,Dekat,Perempuan,64
22,89,Tinggi,Tinggi,Ya,6,80,Sedang,Ya,1,Tinggi,Tinggi,,Positif,3,Tidak,SMA,NEAR,Perempuan,73
20,60,Rendah,,Tidak,7,82,Tinggi,Ya,2,Rendah,Tinggi,Negeri,Positif,4,Ya,High School,NEAR,M@le,63
13,84,Sedang,Sedang,Tidak,5,78,Sedang,,1,Rendah,Tinggi,Negeri,Positif,2,Tidak,High School,Dekat,Laki-laki,
27,97,Rendah,Tinggi,Ya,8,81,Sedang,Ya,0,Tinggi,Sedang,Negeri,Positif,5,Tidak,High School,Dekat,,73
25,72,Tinggi,Tinggi,Ya,,94,Rendah,Ya,2,Rendah,Sedang,Priv@te,Positif,,Tidak,COLLEGE,Sedang/Jarak Sedang,Perempuan,70
25,67,Tinggi,Sedang,Tidak,9,93,Tinggi,Ya,2,Rendah,Tinggi,Negeri,Positif,3,Ya,HIGH SCHOOL,Dekat,Perempuan,68
15,86,Sedang,Sedang,Ya,7,57,Sedang,Ya,1,Sedang,Sedang,Negeri,negative,3,Tidak,Perguruan Tinggi,Dekat,,65
28,89,Rendah,Tinggi,Ya,9,79,Tinggi,Ya,0,Rendah,Sedang,Priv@te,Positif,1,Tidak,,Sedang/Jarak Sedang,Perempuan,71
12,88,Rendah,Sedang,Tidak,6,72,Rendah,Ya,2,Sedang,Sedang,Negeri,Positif,2,Tidak,Perguruan Tinggi,Jauh,Laki-laki,64
24,73,Sedang,Tinggi,Ya,8,,Sedang,Ya,4,Tinggi,Sedang,Swasta,neutral,3,Ya,Perguruan Tinggi,Sedang/Jarak Sedang,MALE,68
33,70,Sedang,Sedang,Ya,6,82,Rendah,Ya,1,Rendah,Tinggi,Negeri,Netral,4,Tidak,Perguruan Tinggi,Dekat,Laki-laki,69
14,98,Sedang,Sedang,Tidak,7,76,Sedang,Ya,0,,Tinggi,Priv@te,,4,,,MODERATE,FEMALE,69
17,97,Sedang,Sedang,Tidak,8,89,Sedang,Ya,1,Rendah,,Negeri,Netral,4,Tidak,High School,Jauh,Laki-laki,69
21,78,Sedang,Sedang,Ya,10,55,Sedang,,1,Tinggi,Rendah,PRIVATE,Positif,2,Tidak,Perguruan Tinggi,Dekat,Laki-laki,67
17,94,Rendah,Sedang,Ya,8,65,Rendah,Ya,4,Sedang,Sedang,Negeri,neutral,6,Tidak,SMA,Jauh,Perempuan,68
11,,Sedang,Tinggi,Ya,8,51,Sedang,Ya,2,Rendah,Sedang,Negeri,Netral,3,Tidak,Pascasarjana,Dekat,Laki-laki,64
20,77,Sedang,Sedang,Tidak,6,87,Rendah,Ya,0,Rendah,Tinggi,Negeri,Positif,4,Tidak,High School,Dekat,,66
,66,Tinggi,Rendah,Tidak,7,96,Sedang,Ya,3,Rendah,Tinggi,Negeri,Negatif,3,,SMA,NEAR,Laki-laki,63
23,77,,Sedang,Ya,7,79,Sedang,Ya,0,Rendah,Tinggi,Negeri,Netral,2,Tidak,SMA,,Laki-laki,66
14,81,,Sedang,Tidak,9,81,Sedang,Ya,1,Rendah,Tinggi,,Negatif,,Tidak,Pascasarjana,Dekat,Perempuan,66
29,61,Sedang,Tinggi,Ya,7,52,Rendah,Ya,3,Rendah,Sedang,Priv@te,Positif,3,Tidak,COLLEGE,NEAR,Perempuan,67
15,78,Tinggi,Tinggi,Tidak,9,75,Rendah,Ya,1,Rendah,Sedang,Negeri,Negatif,1,Tidak,SMA,,MALE,65
18,91,Rendah,Sedang,Ya,5,76,Sedang,Ya,1,Sedang,Sedang,Negeri,Netral,,Tidak,High School,Dekat,Perempuan,68
25,87,Sedang,Rendah,Tidak,9,52,Tinggi,Ya,1,Rendah,Tinggi,Swasta,Positif,2,Tidak,SMA,,Laki-laki,68
13,85,Tinggi,Sedang,Tidak,6,89,Sedang,Ya,0,Tinggi,Sedang,Swasta,Netral,1,Ya,HIGH SCHOOL,Dekat,Laki-laki,
21,96,Sedang,Sedang,Tidak,8,64,Tinggi,Ya,2,Sedang,Tinggi,Negeri,Netral,0,Tidak,COLLEGE,Dekat,M@le,71
28,61,,Tinggi,Tidak,6,86,Tinggi,Ya,,Rendah,Sedang,Priv@te,Negatif,3,Ya,Pascasarjana,Jauh,Laki-laki,65
10,82,Sedang,Rendah,Tidak,8,70,Sedang,Ya,3,Rendah,Tinggi,Negeri,Positif,1,Ya,Pascasarjana,Dekat,,64
21,91,Tinggi,Sedang,Tidak,6,100,Sedang,Ya,0,Tinggi,Sedang,Swasta,Netral,2,Tidak,Pascasarjana,Ne@r,Perempuan,72
22,82,Sedang,,Tidak,9,61,Sedang,Ya,2,Rendah,Sedang,Negeri,Negatif,2,Ya,High School,Dekat,Perempuan,65
25,73,Sedang,Tinggi,Tidak,8,53,Tinggi,Tidak,,Rendah,,Swasta,Negatif,5,Tidak,Pascasarjana,Dekat,Perempuan,66
13,65,Rendah,Tinggi,Tidak,6,99,Sedang,,0,Rendah,Sedang,Swasta,NEGATIVE,4,Tidak,High School,Dekat,Laki-laki,61
12,96,Rendah,Tinggi,Ya,8,62,Sedang,Ya,2,Sedang,Tinggi,Negeri,Negatif,3,Tidak,Perguruan Tinggi,Dekat,,68
23,79,Tinggi,Tinggi,Ya,8,82,Rendah,Ya,3,Sedang,Sedang,Negeri,Negatif,3,Ya,POSTGRADUATE,Sedang/Jarak Sedang,Perempuan,69
22,,Sedang,Tinggi,Ya,6,69,Sedang,Ya,1,,Sedang,Negeri,Positif,3,Tidak,college,Dekat,Perempuan,72
22,83,Sedang,Tinggi,Ya,5,82,Sedang,Ya,2,Rendah,Tinggi,Negeri,Positif,3,Tidak,Pascasarjana,Dekat,FEMALE,71
22,87,Tinggi,Tinggi,Tidak,5,80,Rendah,Ya,2,,Tinggi,public,NEGATIVE,3,Tidak,,Dekat,FEMALE,70
16,92,Sedang,Tinggi,Ya,5,85,,Ya,1,Rendah,,Negeri,NEUTRAL,2,Tidak,,,Laki-laki,68
21,86,Rendah,Sedang,Ya,5,51,Sedang,Ya,2,Rendah,Tinggi,Negeri,POSITIVE,2,Tidak,High School,Sedang/Jarak Sedang,Perempuan,67
22,76,Sedang,Sedang,Ya,8,92,Sedang,,1,Rendah,Tinggi,Negeri,Netral,4,Tidak,High School,Dekat,Perempuan,68
16,81,Sedang,Sedang,Ya,8,74,Sedang,Ya,3,Sedang,Sedang,Negeri,Positif,2,Tidak,postgraduate,Dekat,Perempuan,68
31,92,Sedang,Sedang,Ya,4,76,Sedang,Ya,2,Sedang,Tinggi,Negeri,POSITIVE,4,,High School,,Laki-laki,72
23,75,Rendah,Tinggi,Tidak,6,71,Rendah,Ya,0,Sedang,Sedang,Negeri,neutral,2,Tidak,Perguruan Tinggi,Dekat,Laki-laki,65
13,76,Sedang,Tinggi,Tidak,5,,Rendah,Ya,2,Sedang,Sedang,Swasta,Positif,4,Tidak,HIGH SCHOOL,Dekat,Perempuan,66
24,64,Sedang,Sedang,Ya,,90,Tinggi,Ya,0,Rendah,Tinggi,Negeri,Negatif,3,Tidak,High School,Dekat,Laki-laki,65
14,97,Sedang,Sedang,Ya,6,66,Sedang,Ya,2,Sedang,Sedang,Negeri,Negatif,3,Ya,Perguruan Tinggi,Dekat,,67
25,64,Sedang,Tinggi,Tidak,5,89,Rendah,Ya,2,Sedang,Sedang,public,Netral,4,Tidak,Perguruan Tinggi,F@r,Laki-laki,66
27,86,Sedang,Sedang,Tidak,7,72,Rendah,Ya,1,Sedang,Tinggi,Negeri,Positif,4,Tidak,High School,F@r,Laki-laki,69
15,77,Sedang,Sedang,Ya,8,94,Rendah,Ya,0,Tinggi,Tinggi,Negeri,Positif,3,Tidak,COLLEGE,Sedang/Jarak Sedang,MALE,66
,76,Sedang,Tinggi,Ya,6,52,Sedang,Ya,4,Tinggi,Rendah,public,Netral,3,Tidak,High School,Dekat,Laki-laki,69
22,87,Tinggi,Rendah,Ya,7,68,Sedang,Tidak,0,Rendah,Sedang,Negeri,,2,Tidak,High School,Ne@r,,67
25,63,Tinggi,Sedang,Ya,6,71,Sedang,Ya,1,Sedang,Rendah,,Positif,3,Tidak,HIGH SCHOOL,Dekat,M@le,66
31,84,Sedang,Sedang,Ya,9,87,Sedang,Ya,2,Rendah,,PRIVATE,Netral,3,Tidak,COLLEGE,Jauh,Laki-laki,71
19,91,Tinggi,Rendah,Tidak,6,59,Sedang,Ya,5,Sedang,Tinggi,,Netral,4,Tidak,Perguruan Tinggi,Sedang/Jarak Sedang,Laki-laki,70
15,93,Tinggi,Sedang,Tidak,6,64,Sedang,Ya,2,Sedang,Tinggi,Negeri,Positif,4,Tidak,Pascasarjana,Dekat,Laki-laki,71
